"date","state","sector","mode","installed_capacity"
"21-12-2023","Ladakh","STATE SECTOR","Nuclear","NA"
"21-12-2023","Ladakh","STATE SECTOR","Hydro","NA"
"21-12-2023","Ladakh","STATE SECTOR","RES","40.99"
"21-12-2023","Ladakh","PVT SECTOR","Thermal","NA"
"21-12-2023","Ladakh","PVT SECTOR","Nuclear","NA"
"21-12-2023","Ladakh","PVT SECTOR","Hydro","NA"
"21-12-2023","Ladakh","PVT SECTOR","RES","7.8"
"21-12-2023","Ladakh","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Ladakh","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Ladakh","CENTRAL SECTOR","Hydro","89"
"21-12-2023","Ladakh","CENTRAL SECTOR","RES","NA"
"21-12-2023","Lakshadweep","STATE SECTOR","Thermal","26.83"
"21-12-2023","Lakshadweep","STATE SECTOR","Nuclear","NA"
"21-12-2023","Lakshadweep","STATE SECTOR","Hydro","NA"
"21-12-2023","Lakshadweep","STATE SECTOR","RES","NA"
"21-12-2023","Lakshadweep","PVT SECTOR","Thermal","NA"
"21-12-2023","Lakshadweep","PVT SECTOR","Nuclear","NA"
"21-12-2023","Lakshadweep","PVT SECTOR","Hydro","NA"
"21-12-2023","Lakshadweep","PVT SECTOR","RES","4.77"
"21-12-2023","Lakshadweep","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Lakshadweep","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Lakshadweep","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Lakshadweep","CENTRAL SECTOR","RES","NA"
"21-12-2023","Madhya Pradesh","STATE SECTOR","Thermal","5400"
"21-12-2023","Madhya Pradesh","STATE SECTOR","Nuclear","NA"
"21-12-2023","Madhya Pradesh","STATE SECTOR","Hydro","715"
"21-12-2023","Madhya Pradesh","STATE SECTOR","RES","107.96"
"21-12-2023","Madhya Pradesh","PVT SECTOR","Thermal","8320"
"21-12-2023","Madhya Pradesh","PVT SECTOR","Nuclear","NA"
"21-12-2023","Madhya Pradesh","PVT SECTOR","Hydro","NA"
"21-12-2023","Madhya Pradesh","PVT SECTOR","RES","5864.03"
"21-12-2023","Madhya Pradesh","CENTRAL SECTOR","Thermal","8280"
"21-12-2023","Madhya Pradesh","CENTRAL SECTOR","Nuclear","NA"
"21-12-2023","Madhya Pradesh","CENTRAL SECTOR","Hydro","1520"
"21-12-2023","Madhya Pradesh","CENTRAL SECTOR","RES","300"
"21-12-2023","Maharashtra","STATE SECTOR","Thermal","10212"
"21-12-2023","Maharashtra","STATE SECTOR","Nuclear","NA"
"21-12-2023","Maharashtra","STATE SECTOR","Hydro","2566"
"21-12-2023","Maharashtra","STATE SECTOR","RES","388.13"
"21-12-2023","Maharashtra","PVT SECTOR","Thermal","11244"
"21-12-2023","Maharashtra","PVT SECTOR","Nuclear","NA"
"21-12-2023","Maharashtra","PVT SECTOR","Hydro","481"
"21-12-2023","Maharashtra","PVT SECTOR","RES","12740.01"
"21-12-2023","Maharashtra","CENTRAL SECTOR","Thermal","5607.08"
"21-12-2023","Maharashtra","CENTRAL SECTOR","Nuclear","1400"
"21-12-2023","Maharashtra","CENTRAL SECTOR","Hydro","NA"
"21-12-2023","Maharashtra","CENTRAL SECTOR","RES","123"
"21-12-2023","Manipur","STATE SECTOR","Thermal","36"
"21-12-2023","Manipur","STATE SECTOR","Nuclear","NA"
"21-12-2023","Manipur","STATE SECTOR","Hydro","NA"
"21-12-2023","Manipur","STATE SECTOR","RES","5.45"
"21-12-2023","Manipur","PVT SECTOR","Thermal","NA"
"21-12-2023","Manipur","PVT SECTOR","Nuclear","NA"
"21-12-2023","Manipur","PVT SECTOR","Hydro","NA"
"21-12-2023","Manipur","PVT SECTOR","RES","13.04"
"21-12-2023","Manipur","CENTRAL SECTOR","Thermal","NA"
"21-12-2023","Manipur","CENTRAL SECTOR","Nuclear","NA"
